algorithm,array_type,n,avg_time_us,avg_char_comparisons
quickSort,almost,800,39.3747,26659
mergeSort,almost,800,47.4307,7153
TernaryQuickSort,almost,800,2109.79,21390
StringMergeSort,almost,800,60.2223,3071
MSDRadixSort,almost,800,404.916,1711
MSBRadixSort,almost,800,926.82,9379
quickSort,random,900,58.9723,28640
mergeSort,random,900,75.111,10151
TernaryQuickSort,random,900,2674.22,15402
StringMergeSort,random,900,62.3613,6982
MSDRadixSort,random,900,702.889,1928
MSBRadixSort,random,900,980.069,6054
quickSort,reverse,900,41.4027,22355
mergeSort,reverse,900,51.5,6091
TernaryQuickSort,reverse,900,7289.83,42375
StringMergeSort,reverse,900,35.2083,2901
MSDRadixSort,reverse,900,470.486,1930
MSBRadixSort,reverse,900,957.403,7825
quickSort,almost,900,39.972,29942
mergeSort,almost,900,44.2083,8187
TernaryQuickSort,almost,900,2305.85,29774
StringMergeSort,almost,900,35.0697,3434
MSDRadixSort,almost,900,460.223,1930
MSBRadixSort,almost,900,952.75,12029
quickSort,random,1000,61.8193,27973
mergeSort,random,1000,107.528,11624
TernaryQuickSort,random,1000,1825.12,16584
StringMergeSort,random,1000,66.875,7878
MSDRadixSort,random,1000,547.917,2185
MSBRadixSort,random,1000,821.778,6940
quickSort,reverse,1000,47.6253,30249
mergeSort,reverse,1000,53.7637,7033
TernaryQuickSort,reverse,1000,6459.94,47447
StringMergeSort,reverse,1000,31.611,3272
MSDRadixSort,reverse,1000,461.375,2158
MSBRadixSort,reverse,1000,1084.94,9272
quickSort,almost,1000,47.347,35663
mergeSort,almost,1000,53.1667,9316
TernaryQuickSort,almost,1000,2681.85,31611
StringMergeSort,almost,1000,38.6663,3825
MSDRadixSort,almost,1000,507.722,2165
MSBRadixSort,almost,1000,1050.65,13900
quickSort,random,1100,67.972,33178
mergeSort,random,1100,89.9443,13041
TernaryQuickSort,random,1100,1922.71,17484
StringMergeSort,random,1100,70.0697,8846
MSDRadixSort,random,1100,547,2372
MSBRadixSort,random,1100,827.778,7755
quickSort,reverse,1100,57.4167,35765
mergeSort,reverse,1100,62.153,7757
TernaryQuickSort,reverse,1100,7831.96,52565
StringMergeSort,reverse,1100,48.6947,3566
MSDRadixSort,reverse,1100,667.458,2427
MSBRadixSort,reverse,1100,1637.46,10684
quickSort,almost,1100,54.9307,36919
mergeSort,almost,1100,82.486,10580
TernaryQuickSort,almost,1100,2862.83,33586
StringMergeSort,almost,1100,45.347,4312
MSDRadixSort,almost,1100,618.514,2390
MSBRadixSort,almost,1100,1316.56,16351
quickSort,random,1200,81.2777,35770
mergeSort,random,1200,92.472,14542
TernaryQuickSort,random,1200,2118.68,19674
StringMergeSort,random,1200,77.8747,9771
MSDRadixSort,random,1200,572.57,2619
MSBRadixSort,random,1200,986.347,8837
quickSort,reverse,1200,56.5277,35981
mergeSort,reverse,1200,61.903,8494
TernaryQuickSort,reverse,1200,8937.61,56139
